,Category,Avg Controversial Score
0,Science & Technology,69.94112755897712
1,Nonprofits & Activism,14.926916770913243
2,People & Blogs,14.577688232330136
3,News & Politics,12.814018452130664
4,Comedy,11.078876625428657
5,Pets & Animals,8.433972527719725
6,Entertainment,8.1329098488096
7,Film & Animation,7.0371726645180575
8,Howto & Style,6.506599950513015
9,Music,4.977576220941458
10,Travel & Events,4.929882089751622
11,Education,4.78965759177209
12,Autos & Vehicles,2.9921306524842257
13,Sports,2.500889074545326
14, UNA ,1.908403909547396
