,Category,Avg Rating (/5)
0, UNA ,4.262499999999999
1,Music,4.244605568445477
2,Film & Animation,4.0879615384615375
3,Autos & Vehicles,3.84064935064935
4,News & Politics,3.8094894894894895
5,Entertainment,3.6666519823788524
6,People & Blogs,3.5947738693467337
7,Sports,3.5199999999999974
8,Comedy,3.497971014492756
9,Pets & Animals,3.3690526315789473
10,Howto & Style,3.345547445255475
11,Education,3.341384615384616
12,Travel & Events,3.314375000000001
13,Nonprofits & Activism,3.2704761904761908
14,Science & Technology,3.1832499999999997
